requirement_key,topic,checklist_items,checklist_value,code_clause,code_value,authority,applies,verdict,applied_value,note
route.width.exterior,Accessible route,3.2,36 in min,5.2.1(iii),48 in min,BINDING,EXTERIOR,CODE_STRICTER,48 in,Code also requires handrail protection where level drop from adjoining ground exceeds 18 in.
route.width.interior,Accessible route,9.3,"36 in min, may narrow to 32 in for max 24 in",6.2.1(ii),48 in min except at doors,BINDING,INTERIOR,CODE_STRICTER,48 in,Checklist narrowing allowance has no Code equivalent.
route.passing.space,Accessible route,9.3,narrow portions 48 in apart,6.2.1(iii),"if width < 60 in, provide 60 x 60 in passing spaces at intervals not exceeding 100 ft",BINDING,INTERIOR,CONFLICT,Code,Different mechanism entirely. Corridor intersection counts as passing space.
route.headroom,Accessible route,11.78,6 ft 6 in (78 in),6.2.1(v),80 in min,BINDING,ALL,CODE_STRICTER,80 in,Checklist value appears under landscape planting; Code sets it for the whole accessible route.
route.level.gradient,Accessible route,"3.3, 9.4",running slope not steeper than 1:20,5.2.1(ii),gradient less than 1:20 is level access,BINDING,ALL,MATCH,1:20,
route.surface,Accessible route,"3.1, 9.2","stable, firm, slip-resistant","5.2.5(i), 6.2.2(iii)","firm, slip-resistant, reasonably smooth, especially under wet conditions",BINDING,ALL,CODE_STRICTER,Code,Code names wet conditions explicitly.
route.tactile,Accessible route,1.3,tactile blocks in sidewalk and crossing,5.2.5(ii),detectable tactile surface across full width at each level change and at head and foot of ramps and steps,BINDING,ALL,CODE_STRICTER,Code,Code is more specific about placement.
route.egress.link,Accessible route,-,not asked,6.2.1(vi),a sole accessible route must also serve as means of emergency egress or connect to an area of refuge,BINDING,ALL,GAP_CHECKLIST,Code,New item required.
walkway.width,Walkways,3.2,36 in,5.2.7(i),48 in min; 36 in clear at identified obstructions,BINDING,EXTERIOR,CODE_STRICTER,48 in / 36 in at obstruction,
walkway.gradient,Walkways,-,not asked,5.2.7(ii),should not exceed 1:12,BINDING,EXTERIOR,GAP_CHECKLIST,1:12,
walkway.gratings,Walkways,-,not asked,5.2.7(iv),"no parallel bars; apertures at right angles to travel, not larger than 1 in wide",BINDING,EXTERIOR,GAP_CHECKLIST,1 in,New item required.
crossing.curbramp,Pedestrian crossings,"4.1, 11.49, 11.52",curb ramp where route crosses curb; level differences over 19 mm,"5.2.8(i), 5.2.7(iii)",all marked crossings shall have curb ramps and detectable floor paving,BINDING,EXTERIOR,CODE_STRICTER,Code,"Checklist 11.49 uses 19 mm, the only metric value in an otherwise imperial document; no Code basis found."
crossing.signals,Pedestrian crossings,"11.48, 11.51",audible and flashing crossing signals,5.2.8(iii),auditory signals and manually operated traffic lights where possible in high pedestrian traffic areas,BINDING,EXTERIOR,CONFLICT,Code,Checklist states it as a requirement; Code phrases it as 'where possible'. Downgrade severity.
crossing.width,Pedestrian crossings,11.50,"at least 10 ft wide, 4 in white lines",-,not specified,UNSOURCED,EXTERIOR,GAP_CODE,"checklist, flagged",No Code basis. Check Design Manual before citing.
ramp.slope.new,Ramps,"6.3, 9.16","1:12 max; 1:8 for rise <= 3 in, 1:10 for rise <= 6 in where space limited",5.2.3(i),should not exceed 1:20; shall not exceed 1:12 for new construction,BINDING,NEW,CONFLICT,1:12,Code gives no space-limitation exception for new build. Checklist exceptions are ADA-derived.
ramp.slope.existing,Ramps,-,not distinguished,5.2.3(ii),up to 1:8 permitted for existing development ONLY where an alternative stepped approach is also provided,BINDING,EXISTING,GAP_CHECKLIST,1:8 conditional,Requires new-vs-existing site attribute and a conditional threshold.
ramp.crossslope,Ramps,8.2,1:48 (door manoeuvring),5.2.3(iii),1:50 max,BINDING,ALL,CONFLICT,1:50,Minor numeric difference; adopt Code.
ramp.width.exterior,Ramps,6.1,36 in min,5.2.3(iv),48 in min,BINDING,EXTERIOR,CODE_STRICTER,48 in,
ramp.width.interior,Ramps,9.14,36 in min,6.2.3(v),36 in min with passing space at landings,BINDING,INTERIOR,MATCH,36 in,Exterior and interior differ in the Code; the checklist uses one value for both.
ramp.rise.max,Ramps,-,not asked,5.2.3(v),max rise between two landings 30 in,BINDING,ALL,GAP_CHECKLIST,30 in,New item required.
ramp.run.max,Ramps,-,not asked,6.2.3(iv),single run shall not exceed 48 ft,BINDING,INTERIOR,GAP_CHECKLIST,48 ft,New item required.
ramp.landing,Ramps,"6.4, 6.5, 9.17, 9.18","60 in long, ramp width; 60 x 60 in at direction change",6.2.3(v),passing space provided at landings (undimensioned),BINDING,ALL,GAP_CODE,"checklist, flagged",Code does not dimension landings. Check Design Manual.
ramp.handrail.trigger,Ramps,"6.6, 9.19",handrails both sides if rise > 6 in,7.7.1,handrails required unless gradient is less than 1:20,BINDING,ALL,CONFLICT,Code,Different trigger: rise-based vs gradient-based.
ramp.balustrade,Ramps,-,not asked,7.7.2,balustrade required where drop to the side exceeds 18 in,BINDING,ALL,GAP_CHECKLIST,18 in,New item required.
stair.riser.exterior,Stairs,5.1,not more than 6.5 in,5.2.4(ii),not more than 6 in,BINDING,EXTERIOR,CODE_STRICTER,6 in,
stair.riser.interior,Stairs,9.6,not more than 6.5 in,6.2.3(iii),max riser 7 in,BINDING,INTERIOR,CHECKLIST_STRICTER,"6.5 in, flagged",Three different values across the two documents. Resolve with consultant.
stair.tread,Stairs,"5.1, 9.6",not less than 11 in,"5.2.4(ii), 6.2.3(iii)",not less than 11 in,BINDING,ALL,MATCH,11 in,"Code 6.2.3(iii) says 'head width', read as tread."
stair.width.exterior,Stairs,5.2,"asked, no threshold given",5.2.4(i),not less than 36 in,BINDING,EXTERIOR,GAP_CHECKLIST,36 in,Checklist records the measurement but sets no pass criterion.
stair.width.interior,Stairs,9.7,"asked, no threshold given",6.2.3(ii),min 42 in clear between handrails (low-rise buildings),BINDING,INTERIOR,GAP_CHECKLIST,42 in,
stair.single.step,Stairs,-,not asked,5.2.4(iii),single steps should be avoided,BINDING,EXTERIOR,GAP_CHECKLIST,advisory,"'Should' - preferred standard, not mandatory."
handrail.height.exterior,Handrails,5.4,34 to 38 in,5.2.6(iii),"not less than 30 in, not more than 42 in",BINDING,EXTERIOR,CONFLICT,30 to 42 in,"Checklist range sits inside Code range; a 32 in rail passes Code, fails checklist."
